Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Cities,,,,,,
FDO27,6.175,Regular,0.053930934,Meat,94.9752,OUT045,2002,Medium,Tier 2,Supermarket Type1,1534.0032,Lucknow,,,,,,
FDW27,5.86,Regular,0.151159243,Meat,156.6314,OUT045,2002,Medium,Tier 2,Supermarket Type1,3257.7594,Ahmedabad,,,,,,
FDJ48,12.6,Low Fat,0.056161529,Baking Goods,246.9118,OUT027,1985,Medium,Tier 3,Supermarket Type3,5681.2714,Yamunanagar,,,,,,
FDR11,10.5,Regular,0.142419608,Breads,161.1578,OUT013,1987,High,Tier 3,Supermarket Type1,1765.0358,Yamunanagar,,,,,,
FDV07,9.5,Low Fat,0.031410378,Fruits and Vegetables,110.3228,OUT018,2009,Medium,Tier 3,Supermarket Type2,2763.07,Guwahati,,,,,,
FDO50,12.6,Low Fat,0.077790204,Canned,93.0804,OUT027,1985,Medium,Tier 3,Supermarket Type3,2940.1728,Patna,,,,,,
FDN04,11.8,Regular,0.014166739,Frozen Foods,178.2344,OUT017,2007,Medium,Tier 2,Supermarket Type1,2854.9504,Indore,,,,,,
FDZ08,12.5,Regular,0.110215444,Fruits and Vegetables,81.8592,OUT045,2002,Medium,Tier 2,Supermarket Type1,1238.388,Surat,,,,,,
FDD05,19.35,Low Fat,0.016679143,Frozen Foods,119.3098,OUT018,2009,Medium,Tier 3,Supermarket Type2,1928.1568,Patna,,,,,,
FDV60,20.2,Regular,0.117339056,Baking Goods,195.011,OUT035,2004,Small,Tier 2,Supermarket Type1,2749.754,Lucknow,,,,,,
NCG30,20.2,Low Fat,0.112227747,Household,123.5046,OUT013,1987,High,Tier 3,Supermarket Type1,2739.1012,Meerut,,,,,,
FDX37,12.6,Low Fat,0.062724117,Canned,100.57,OUT027,1985,Medium,Tier 3,Supermarket Type3,5093.37,Bhopal,,,,,,
FDW24,6.8,Low Fat,0.037555348,Baking Goods,49.6034,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068,Hyderabad,,,,,,
DRM48,12.6,Low Fat,0.112349962,Soft Drinks,39.1848,OUT027,1985,Medium,Tier 3,Supermarket Type3,559.272,Patna,,,,,,
FDF46,12.6,Low Fat,0.093217569,Snack Foods,116.7834,OUT027,1985,Medium,Tier 3,Supermarket Type3,4952.8862,Bhopal,,,,,,
NCY54,8.43,Low Fat,0.177661246,Household,170.5422,OUT035,2004,Small,Tier 2,Supermarket Type1,3621.2862,Ahmedabad,,,,,,
FDS35,9.3,Low Fat,0.11184963,Breads,64.6826,OUT017,2007,Medium,Tier 2,Supermarket Type1,774.9912,Jaipur,,,,,,
FDB04,11.35,Regular,0.06321435,Dairy,88.3856,OUT035,2004,Small,Tier 2,Supermarket Type1,1318.284,Jaipur,,,,,,
NCK05,20.1,Low Fat,0.077892365,Health and Hygiene,59.3536,OUT017,2007,Medium,Tier 2,Supermarket Type1,918.804,Nagpur,,,,,,
FDT46,11.35,Low Fat,0.051564827,Snack Foods,49.0008,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016,Ranchi,,,,,,
FDP52,12.6,Regular,0.070349402,Frozen Foods,228.601,OUT027,1985,Medium,Tier 3,Supermarket Type3,7350.432,Meerut,,,,,,
NCR17,9.8,Low Fat,0.024521239,Health and Hygiene,117.5492,OUT017,2007,Medium,Tier 2,Supermarket Type1,1390.1904,Chandigarh,,,,,,
NCN54,20.35,Low Fat,0.021447102,Household,76.3328,OUT017,2007,Medium,Tier 2,Supermarket Type1,1312.9576,Surat,,,,,,
FDX12,18.2,Regular,0.026059557,Baking Goods,241.2196,OUT035,2004,Small,Tier 2,Supermarket Type1,6507.5292,Chandigarh,,,,,,
DRL23,18.35,Low Fat,0.015301418,Hard Drinks,105.2938,OUT035,2004,Small,Tier 2,Supermarket Type1,2036.6822,Jaipur,,,,,,
DRN47,12.1,Low Fat,0.053930934,Hard Drinks,179.866,OUT045,2002,Medium,Tier 2,Supermarket Type1,3595.32,Lucknow,,,,,,
FDM25,10.695,Regular,0.060615254,Breakfast,174.0712,OUT013,1987,High,Tier 3,Supermarket Type1,2460.7968,Varanasi,,,,,,
FDF52,12.6,Low Fat,0.066459891,Frozen Foods,184.2292,OUT027,1985,Medium,Tier 3,Supermarket Type3,4560.73,Bhopal,,,,,,
FDU21,11.8,Regular,0.076876046,Snack Foods,33.1558,OUT045,2002,Medium,Tier 2,Supermarket Type1,543.2928,Jaipur,,,,,,
FDI15,13.8,Low Fat,0.14215211,Dairy,263.5884,OUT017,2007,Medium,Tier 2,Supermarket Type1,2384.8956,Jaipur,,,,,,
FDJ09,15,Low Fat,0.058632705,Snack Foods,46.4744,OUT018,2009,Medium,Tier 3,Supermarket Type2,543.2928,Yamunanagar,,,,,,
FDW03,5.63,Regular,0.024541277,Meat,105.1306,OUT046,1997,Small,Tier 1,Supermarket Type1,3135.918,Pune,,,,,,
FDA07,7.55,Regular,0.030992735,Fruits and Vegetables,124.3072,OUT049,1999,Medium,Tier 1,Supermarket Type1,2695.1584,Chennai,,,,,,
FDU39,18.85,Low Fat,0.036241797,Meat,57.3562,OUT017,2007,Medium,Tier 2,Supermarket Type1,1007.3554,Chandigarh,,,,,,
FDI60,7.22,Regular,0.038398937,Baking Goods,61.951,OUT045,2002,Medium,Tier 2,Supermarket Type1,1518.024,Surat,,,,,,
FDK33,17.85,Low Fat,0.011258035,Snack Foods,211.656,OUT045,2002,Medium,Tier 2,Supermarket Type1,2556.672,Nagpur,,,,,,
FDN01,8.895,Low Fat,0.072511335,Breakfast,177.437,OUT049,1999,Medium,Tier 1,Supermarket Type1,3528.74,Bangalore,,,,,,
FDV38,19.25,Low Fat,0.101689151,Dairy,54.6956,OUT013,1987,High,Tier 3,Supermarket Type1,163.7868,Bhopal,,,,,,
NCV06,11.3,Low Fat,0.066625843,Household,194.2478,OUT013,1987,High,Tier 3,Supermarket Type1,2712.4692,Bhopal,,,,,,
FDQ34,10.85,Low Fat,0.162242617,Snack Foods,107.8622,OUT046,1997,Small,Tier 1,Supermarket Type1,1058.622,Delhi,,,,,,
DRK37,5,Low Fat,0.053930934,Soft Drinks,189.853,OUT045,2002,Medium,Tier 2,Supermarket Type1,4933.578,Jaipur,,,,,,
NCY53,20,Low Fat,0.053930934,Health and Hygiene,110.2544,OUT013,1987,High,Tier 3,Supermarket Type1,1454.1072,Guwahati,,,,,,
FDD53,12.6,Low Fat,0.044008347,Frozen Foods,43.7454,OUT027,1985,Medium,Tier 3,Supermarket Type3,671.1264,Ranchi,,,,,,
FDV49,10,Low Fat,0.025867353,Canned,264.6226,OUT049,1999,Medium,Tier 1,Supermarket Type1,4757.8068,Bangalore,,,,,,
FDY36,12.6,Low Fat,0.016476619,Baking Goods,74.338,OUT019,1985,Small,Tier 1,Grocery Store,146.476,Kolkata,,,,,,
FDH34,8.63,Low Fat,0.031095246,Snack Foods,185.7582,OUT046,1997,Small,Tier 1,Supermarket Type1,3529.4058,Chennai,,,,,,
NCD07,9.1,Low Fat,0.053930934,Household,115.4518,OUT017,2007,Medium,Tier 2,Supermarket Type1,2390.8878,Jaipur,,,,,,
FDB51,6.92,Low Fat,0.038422076,Dairy,62.5852,OUT013,1987,High,Tier 3,Supermarket Type1,438.0964,Guwahati,,,,,,
NCH42,6.86,Low Fat,0.061155983,Household,228.401,OUT010,1998,Medium,Tier 3,Grocery Store,229.701,Varanasi,,,,,,
NCI31,20,Low Fat,0.08131178,Others,37.819,OUT035,2004,Small,Tier 2,Supermarket Type1,439.428,Lucknow,,,,,,
FDL56,14.1,Low Fat,0.125756824,Fruits and Vegetables,87.1198,OUT035,2004,Small,Tier 2,Supermarket Type1,2529.3742,Surat,,,,,,
FDG29,17.6,Low Fat,0.05661033,Frozen Foods,41.7454,OUT017,2007,Medium,Tier 2,Supermarket Type1,209.727,Surat,,,,,,
FDJ45,17.75,Low Fat,0.073709686,Seafood,35.1216,OUT018,2009,Medium,Tier 3,Supermarket Type2,415.4592,Guwahati,,,,,,
FDJ38,8.6,Regular,0.040432954,Canned,191.653,OUT017,2007,Medium,Tier 2,Supermarket Type1,3795.06,Indore,,,,,,
NCO05,7.27,Low Fat,0.046749112,Health and Hygiene,100.4384,OUT018,2009,Medium,Tier 3,Supermarket Type2,1970.768,Ranchi,,,,,,
FDW24,6.8,Low Fat,0.062762374,Baking Goods,50.4034,OUT010,1998,Medium,Tier 3,Grocery Store,48.6034,Yamunanagar,,,,,,
FDN34,12.6,Regular,0.045542628,Snack Foods,170.7132,OUT027,1985,Medium,Tier 3,Supermarket Type3,4904.2828,Yamunanagar,,,,,,
FDH46,6.935,Regular,0.041346469,Snack Foods,103.1332,OUT049,1999,Medium,Tier 1,Supermarket Type1,820.2656,Delhi,,,,,,
FDW39,6.69,Regular,0.036903419,Meat,175.137,OUT035,2004,Small,Tier 2,Supermarket Type1,1235.059,Lucknow,,,,,,
DRK59,12.6,Low Fat,0.075084457,Hard Drinks,233.9616,OUT027,1985,Medium,Tier 3,Supermarket Type3,4452.8704,Varanasi,,,,,,
FDU25,12.35,Low Fat,0.026735372,Canned,57.4246,OUT045,2002,Medium,Tier 2,Supermarket Type1,810.9444,Nagpur,,,,,,
FDC44,15.6,Low Fat,0.172453254,Fruits and Vegetables,115.1518,OUT013,1987,High,Tier 3,Supermarket Type1,683.1108,Guwahati,,,,,,
FDG17,12.6,Regular,0.035666655,Frozen Foods,246.2486,OUT027,1985,Medium,Tier 3,Supermarket Type3,8063.5038,Varanasi,,,,,,
FDI45,13.1,Low Fat,0.037581243,Fruits and Vegetables,175.5054,OUT046,1997,Small,Tier 1,Supermarket Type1,2451.4756,Bangalore,,,,,,
FDK08,9.195,Regular,0.122202946,Fruits and Vegetables,100.1016,OUT013,1987,High,Tier 3,Supermarket Type1,1619.2256,Patna,,,,,,
FDW36,11.15,Low Fat,0.056921876,Baking Goods,107.1622,OUT035,2004,Small,Tier 2,Supermarket Type1,423.4488,Ahmedabad,,,,,,
FDL39,16.1,Regular,0.063319379,Dairy,180.9318,OUT035,2004,Small,Tier 2,Supermarket Type1,1984.7498,Jaipur,,,,,,
FDS13,6.465,Low Fat,0.124402507,Canned,266.1884,OUT013,1987,High,Tier 3,Supermarket Type1,5299.768,Patna,,,,,,
FDO57,20.75,Low Fat,0.108879177,Snack Foods,161.5578,OUT049,1999,Medium,Tier 1,Supermarket Type1,320.9156,Pune,,,,,,
FDS37,7.655,Low Fat,0.032125561,Canned,115.7492,OUT017,2007,Medium,Tier 2,Supermarket Type1,2548.6824,Indore,,,,,,
FDV26,20.25,Regular,0.076097073,Dairy,193.5794,OUT013,1987,High,Tier 3,Supermarket Type1,1950.794,Yamunanagar,,,,,,
FDJ22,18.75,Low Fat,0.052766297,Snack Foods,189.7504,OUT013,1987,High,Tier 3,Supermarket Type1,2492.7552,Patna,,,,,,
FDC16,11.5,Regular,0.020601791,Dairy,86.054,OUT049,1999,Medium,Tier 1,Supermarket Type1,1038.648,Chennai,,,,,,
NCH42,12.6,Low Fat,0.036360386,Household,231.601,OUT027,1985,Medium,Tier 3,Supermarket Type3,7580.133,Guwahati,,,,,,
FDD46,12.6,Low Fat,0.140571971,Snack Foods,154.7998,OUT027,1985,Medium,Tier 3,Supermarket Type3,3383.5956,Bhopal,,,,,,
FDT25,7.5,Low Fat,0.05074138,Canned,123.2072,OUT035,2004,Small,Tier 2,Supermarket Type1,1837.608,Lucknow,,,,,,
FDR34,17,Regular,0.015997687,Snack Foods,229.1352,OUT045,2002,Medium,Tier 2,Supermarket Type1,4580.704,Ahmedabad,,,,,,
FDQ10,12.6,Low Fat,0.033018559,Snack Foods,170.4422,OUT027,1985,Medium,Tier 3,Supermarket Type3,5000.8238,Yamunanagar,,,,,,
DRI03,6.03,Low Fat,0.022703693,Dairy,177.9028,OUT046,1997,Small,Tier 1,Supermarket Type1,4781.7756,Bangalore,,,,,,
FDB58,12.6,Regular,0.013431109,Snack Foods,143.7154,OUT027,1985,Medium,Tier 3,Supermarket Type3,4821.7236,Guwahati,,,,,,
FDQ03,15,Regular,0.053930934,Meat,235.6248,OUT049,1999,Medium,Tier 1,Supermarket Type1,1896.1984,Delhi,,,,,,
DRD27,18.75,Low Fat,0.023876985,Dairy,97.4042,OUT049,1999,Medium,Tier 1,Supermarket Type1,2281.6966,Bangalore,,,,,,
FDK33,17.85,Low Fat,0.011281018,Snack Foods,213.756,OUT018,2009,Medium,Tier 3,Supermarket Type2,3408.896,Bhopal,,,,,,
DRL23,18.35,Low Fat,0.015328106,Hard Drinks,107.5938,OUT049,1999,Medium,Tier 1,Supermarket Type1,1822.2946,Delhi,,,,,,
FDW32,18.35,Regular,0.094488071,Fruits and Vegetables,87.1882,OUT045,2002,Medium,Tier 2,Supermarket Type1,515.3292,Ahmedabad,,,,,,
NCL05,19.6,Low Fat,0.047897663,Health and Hygiene,44.677,OUT046,1997,Small,Tier 1,Supermarket Type1,173.108,Pune,,,,,,
DRB01,12.6,Low Fat,0.081841136,Soft Drinks,190.053,OUT027,1985,Medium,Tier 3,Supermarket Type3,569.259,Guwahati,,,,,,
NCL06,14.65,Low Fat,0.072212787,Household,260.9594,OUT045,2002,Medium,Tier 2,Supermarket Type1,2878.2534,Surat,,,,,,
FDH10,21,Low Fat,0.049505857,Snack Foods,195.3478,OUT018,2009,Medium,Tier 3,Supermarket Type2,1162.4868,Bhopal,,,,,,
NCO14,9.6,Low Fat,0.02981155,Household,45.2086,OUT017,2007,Medium,Tier 2,Supermarket Type1,669.129,Ahmedabad,,,,,,
FDV03,17.6,Low Fat,0.058181585,Meat,154.4314,OUT049,1999,Medium,Tier 1,Supermarket Type1,2326.971,Bangalore,,,,,,
FDW52,14,Regular,0.037734782,Frozen Foods,166.4526,OUT017,2007,Medium,Tier 2,Supermarket Type1,4769.1254,Nagpur,,,,,,
NCZ30,6.59,Low Fat,0.053930934,Household,119.1098,OUT017,2007,Medium,Tier 2,Supermarket Type1,964.0784,Ahmedabad,,,,,,
FDY35,17.6,Regular,0.026827052,Breads,47.8402,OUT010,1998,Medium,Tier 3,Grocery Store,91.8804,Meerut,,,,,,
FDN31,11.5,Low Fat,0.072881535,Fruits and Vegetables,191.353,OUT046,1997,Small,Tier 1,Supermarket Type1,2277.036,Kolkata,,,,,,
FDX31,20.35,Regular,0.014822802,Fruits and Vegetables,234.0958,OUT035,2004,Small,Tier 2,Supermarket Type1,2570.6538,Nagpur,,,,,,
NCJ05,18.7,Low Fat,0.046159928,Health and Hygiene,152.3682,OUT049,1999,Medium,Tier 1,Supermarket Type1,1677.1502,Delhi,,,,,,
FDN56,5.46,Regular,0.107662745,Fruits and Vegetables,143.8786,OUT017,2007,Medium,Tier 2,Supermarket Type1,4334.358,Ahmedabad,,,,,,
FDZ04,9.31,Low Fat,0.038014104,Frozen Foods,62.351,OUT049,1999,Medium,Tier 1,Supermarket Type1,822.263,Kolkata,,,,,,
FDJ44,12.3,Regular,0.106307146,Fruits and Vegetables,174.9396,OUT035,2004,Small,Tier 2,Supermarket Type1,1569.9564,Jaipur,,,,,,
FDI08,18.2,Regular,0.066672058,Fruits and Vegetables,248.1092,OUT017,2007,Medium,Tier 2,Supermarket Type1,4233.1564,Lucknow,,,,,,
FDB59,18.25,Low Fat,0.015341139,Snack Foods,200.0084,OUT018,2009,Medium,Tier 3,Supermarket Type2,1984.084,Guwahati,,,,,,
FDY15,18.25,Regular,0.171174491,Dairy,156.463,OUT045,2002,Medium,Tier 2,Supermarket Type1,938.778,Jaipur,,,,,,
NCZ18,12.6,Low Fat,0.325780807,Household,252.7698,OUT019,1985,Small,Tier 1,Grocery Store,761.0094,Mumbai,,,,,,
DRO47,10.195,Low Fat,0.112859454,Hard Drinks,114.486,OUT017,2007,Medium,Tier 2,Supermarket Type1,2490.092,Nagpur,,,,,,
FDW21,5.34,Regular,0.005962753,Snack Foods,102.4358,OUT035,2004,Small,Tier 2,Supermarket Type1,2010.716,Chandigarh,,,,,,
FDZ14,12.6,Regular,0.047358246,Dairy,123.1756,OUT027,1985,Medium,Tier 3,Supermarket Type3,3998.7948,Ranchi,,,,,,
FDM09,11.15,Regular,0.086105815,Snack Foods,167.879,OUT045,2002,Medium,Tier 2,Supermarket Type1,2886.243,Lucknow,,,,,,
FDK43,9.8,Low Fat,0.026882496,Meat,126.302,OUT049,1999,Medium,Tier 1,Supermarket Type1,3036.048,Kolkata,,,,,,
FDE45,12.1,Low Fat,0.040521714,Fruits and Vegetables,178.5002,OUT018,2009,Medium,Tier 3,Supermarket Type2,5552.1062,Meerut,,,,,,
FDR35,12.6,Low Fat,0.020597493,Breads,200.0742,OUT027,1985,Medium,Tier 3,Supermarket Type3,8958.339,Varanasi,,,,,,
FDT58,12.6,Low Fat,0.085538477,Snack Foods,169.2816,OUT027,1985,Medium,Tier 3,Supermarket Type3,3523.4136,Bhopal,,,,,,
FDS57,15.5,Low Fat,0.053930934,Snack Foods,141.547,OUT017,2007,Medium,Tier 2,Supermarket Type1,3006.087,Jaipur,,,,,,
FDF10,15.5,Regular,0.053930934,Snack Foods,147.2418,OUT018,2009,Medium,Tier 3,Supermarket Type2,1324.2762,Yamunanagar,,,,,,
FDP03,5.15,Regular,0.10239789,Meat,122.1388,OUT010,1998,Medium,Tier 3,Grocery Store,495.3552,Meerut,,,,,,
FDT04,17.25,Low Fat,0.053930934,Frozen Foods,37.5822,OUT010,1998,Medium,Tier 3,Grocery Store,196.411,Guwahati,,,,,,
NCW53,18.35,Low Fat,0.0304697,Health and Hygiene,191.3162,OUT013,1987,High,Tier 3,Supermarket Type1,1346.9134,Bhopal,,,,,,
FDA39,6.32,Low Fat,0.021287234,Meat,38.5822,OUT010,1998,Medium,Tier 3,Grocery Store,78.5644,Guwahati,,,,,,
NCH29,5.51,Low Fat,0.034467286,Health and Hygiene,96.7726,OUT035,2004,Small,Tier 2,Supermarket Type1,2642.5602,Chandigarh,,,,,,
FDU02,13.35,Low Fat,0.1027194,Dairy,228.8352,OUT045,2002,Medium,Tier 2,Supermarket Type1,5267.8096,Ahmedabad,,,,,,
FDN13,12.6,Low Fat,0.266234421,Breakfast,98.5358,OUT019,1985,Small,Tier 1,Grocery Store,402.1432,Kolkata,,,,,,
FDX56,12.6,Regular,0.129668578,Fruits and Vegetables,206.8638,OUT019,1985,Small,Tier 1,Grocery Store,207.0638,Pune,,,,,,
FDT11,12.6,Regular,0.02923013,Breads,189.4556,OUT027,1985,Medium,Tier 3,Supermarket Type3,3567.3564,Patna,,,,,,
NCC18,12.6,Low Fat,0.176411579,Household,173.2422,OUT027,1985,Medium,Tier 3,Supermarket Type3,2069.3064,Meerut,,,,,,
FDA32,14,Low Fat,0.050371508,Fruits and Vegetables,214.7192,OUT010,1998,Medium,Tier 3,Grocery Store,862.8768,Yamunanagar,,,,,,
FDU39,18.85,Low Fat,0.036184755,Meat,58.5562,OUT018,2009,Medium,Tier 3,Supermarket Type2,770.3306,Meerut,,,,,,
FDV27,12.6,Regular,0.070017381,Meat,89.3514,OUT019,1985,Small,Tier 1,Grocery Store,177.1028,Kolkata,,,,,,
NCW53,18.35,Low Fat,0.030556922,Health and Hygiene,190.6162,OUT045,2002,Medium,Tier 2,Supermarket Type1,3271.0754,Nagpur,,,,,,
NCZ42,10.5,Low Fat,0.011278535,Household,237.0248,OUT013,1987,High,Tier 3,Supermarket Type1,5451.5704,Bhopal,,,,,,
FDO46,9.6,Regular,0.053930934,Snack Foods,191.0872,OUT017,2007,Medium,Tier 2,Supermarket Type1,4349.0056,Chandigarh,,,,,,
FDQ57,12.6,Low Fat,0.027812304,Snack Foods,147.476,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368.948,Varanasi,,,,,,
FDZ36,6.035,Regular,0.066051758,Baking Goods,187.724,OUT018,2009,Medium,Tier 3,Supermarket Type2,2050.664,Ranchi,,,,,,
FDK38,6.65,Low Fat,0.053506996,Canned,150.0734,OUT018,2009,Medium,Tier 3,Supermarket Type2,3563.3616,Guwahati,,,,,,
FDU51,12.6,Regular,0.096046304,Meat,178.7028,OUT027,1985,Medium,Tier 3,Supermarket Type3,4604.6728,Guwahati,,,,,,
FDS14,7.285,Low Fat,0.049922304,Dairy,156.9288,OUT013,1987,High,Tier 3,Supermarket Type1,1571.288,Guwahati,,,,,,
FDQ40,11.1,Regular,0.036083537,Frozen Foods,175.4712,OUT049,1999,Medium,Tier 1,Supermarket Type1,2988.1104,Bangalore,,,,,,
FDE20,11.35,Regular,0.005539114,Fruits and Vegetables,167.879,OUT049,1999,Medium,Tier 1,Supermarket Type1,4074.696,Bangalore,,,,,,
FDH58,12.3,Low Fat,0.036939673,Snack Foods,113.1834,OUT046,1997,Small,Tier 1,Supermarket Type1,3109.9518,Hyderabad,,,,,,
NCK53,11.6,Low Fat,0.037793818,Health and Hygiene,99.3042,OUT017,2007,Medium,Tier 2,Supermarket Type1,2281.6966,Chandigarh,,,,,,
FDJ44,12.3,Regular,0.106928681,Fruits and Vegetables,173.7396,OUT017,2007,Medium,Tier 2,Supermarket Type1,3663.2316,Lucknow,,,,,,
FDN22,18.85,Regular,0.138585859,Snack Foods,252.4724,OUT045,2002,Medium,Tier 2,Supermarket Type1,3271.7412,Ahmedabad,,,,,,
FDH56,9.8,Regular,0.06407717,Fruits and Vegetables,116.7492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,Bhopal,,,,,,
FDK48,7.445,Low Fat,0.037708542,Baking Goods,74.7354,OUT045,2002,Medium,Tier 2,Supermarket Type1,1128.531,Indore,,,,,,
FDQ40,11.1,Regular,0.036020711,Frozen Foods,177.2712,OUT035,2004,Small,Tier 2,Supermarket Type1,2109.2544,Ahmedabad,,,,,,
FDH10,21,Low Fat,0.049295686,Snack Foods,194.4478,OUT035,2004,Small,Tier 2,Supermarket Type1,968.739,Indore,,,,,,
FDM21,20.2,Low Fat,0.06449461,Snack Foods,259.2646,OUT045,2002,Medium,Tier 2,Supermarket Type1,3091.9752,Indore,,,,,,
FDX12,18.2,Regular,0.026117345,Baking Goods,239.2196,OUT045,2002,Medium,Tier 2,Supermarket Type1,3133.2548,Chandigarh,,,,,,
FDM51,11.8,Regular,0.025904648,Meat,102.4674,OUT013,1987,High,Tier 3,Supermarket Type1,2037.348,Yamunanagar,,,,,,
FDG09,20.6,Regular,0.080235512,Fruits and Vegetables,188.9556,OUT010,1998,Medium,Tier 3,Grocery Store,563.2668,Varanasi,,,,,,
DRD37,9.8,Low Fat,0.013830218,Soft Drinks,45.306,OUT013,1987,High,Tier 3,Supermarket Type1,1304.968,Yamunanagar,,,,,,
FDN21,18.6,Low Fat,0.076855628,Snack Foods,161.0236,OUT046,1997,Small,Tier 1,Supermarket Type1,483.3708,Kolkata,,,,,,
NCQ06,13,Low Fat,0.041824524,Household,256.7014,OUT046,1997,Small,Tier 1,Supermarket Type1,2805.0154,Bangalore,,,,,,
FDV52,20.7,Regular,0.12152072,Frozen Foods,118.0466,OUT046,1997,Small,Tier 1,Supermarket Type1,1060.6194,Mumbai,,,,,,
FDC10,9.8,Regular,0.073289899,Snack Foods,120.8098,OUT017,2007,Medium,Tier 2,Supermarket Type1,1325.6078,Indore,,,,,,
FDX51,9.5,Regular,0.022054553,Meat,195.4452,OUT035,2004,Small,Tier 2,Supermarket Type1,4502.1396,Surat,,,,,,
NCD54,21.1,Low Fat,0.029054046,Household,144.6786,OUT049,1999,Medium,Tier 1,Supermarket Type1,2889.572,Hyderabad,,,,,,
NCK18,12.6,Low Fat,0.006665667,Household,164.1184,OUT027,1985,Medium,Tier 3,Supermarket Type3,3797.7232,Meerut,,,,,,
FDZ01,8.975,Regular,0.009057132,Canned,104.099,OUT035,2004,Small,Tier 2,Supermarket Type1,2476.776,Chandigarh,,,,,,
FDT48,4.92,Low Fat,0.045955031,Baking Goods,199.1084,OUT046,1997,Small,Tier 1,Supermarket Type1,2182.4924,Hyderabad,,,,,,
FDB40,17.5,Regular,0.007551607,Dairy,145.8102,OUT049,1999,Medium,Tier 1,Supermarket Type1,1895.5326,Mumbai,,,,,,
NCC07,12.6,Low Fat,0.023835164,Household,103.3964,OUT027,1985,Medium,Tier 3,Supermarket Type3,3050.6956,Varanasi,,,,,,
FDT52,9.695,Regular,0.047503318,Frozen Foods,244.6144,OUT049,1999,Medium,Tier 1,Supermarket Type1,3185.1872,Chennai,,,,,,
FDK09,12.6,Low Fat,0.160665697,Snack Foods,227.5352,OUT019,1985,Small,Tier 1,Grocery Store,916.1408,Kolkata,,,,,,
NCQ30,7.725,Low Fat,0.048661041,Household,123.7414,OUT010,1998,Medium,Tier 3,Grocery Store,121.8414,Guwahati,,,,,,
FDZ60,12.6,Low Fat,0.208987123,Baking Goods,106.0596,OUT019,1985,Small,Tier 1,Grocery Store,215.7192,Pune,,,,,,
NCK18,9.6,Low Fat,0.006692529,Household,164.9184,OUT013,1987,High,Tier 3,Supermarket Type1,2972.1312,Guwahati,,,,,,
FDV11,9.1,Regular,0.136695145,Breads,173.4054,OUT010,1998,Medium,Tier 3,Grocery Store,875.527,Patna,,,,,,
FDR25,17,Regular,0.140311123,Canned,265.6884,OUT017,2007,Medium,Tier 2,Supermarket Type1,2649.884,Jaipur,,,,,,
FDB26,14,Regular,0.031330907,Canned,52.364,OUT045,2002,Medium,Tier 2,Supermarket Type1,745.696,Ahmedabad,,,,,,
DRD01,12.1,Regular,0.061521569,Soft Drinks,55.8614,OUT017,2007,Medium,Tier 2,Supermarket Type1,1436.7964,Indore,,,,,,
FDG32,19.85,Low Fat,0.176991029,Fruits and Vegetables,221.5772,OUT017,2007,Medium,Tier 2,Supermarket Type1,3558.0352,Nagpur,,,,,,
FDY49,17.2,Regular,0.0120098,Canned,163.1184,OUT035,2004,Small,Tier 2,Supermarket Type1,2807.0128,Lucknow,,,,,,
FDD26,8.71,Regular,0.072141818,Canned,183.3924,OUT035,2004,Small,Tier 2,Supermarket Type1,2776.386,Nagpur,,,,,,
FDC22,6.89,Regular,0.136984147,Snack Foods,192.682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2703.148,Bhopal,,,,,,
DRD27,18.75,Low Fat,0.053930934,Dairy,97.9042,OUT045,2002,Medium,Tier 2,Supermarket Type1,1686.4714,Nagpur,,,,,,
FDA44,12.6,Low Fat,0.052964982,Fruits and Vegetables,57.793,OUT027,1985,Medium,Tier 3,Supermarket Type3,1754.383,Yamunanagar,,,,,,
FDW01,14.5,Low Fat,0.053930934,Canned,154.4682,OUT013,1987,High,Tier 3,Supermarket Type1,1524.682,Bhopal,,,,,,
FDV32,12.6,Low Fat,0.155316936,Fruits and Vegetables,64.151,OUT019,1985,Small,Tier 1,Grocery Store,316.255,Bangalore,,,,,,
FDK32,12.6,Regular,0.048738407,Fruits and Vegetables,152.8682,OUT027,1985,Medium,Tier 3,Supermarket Type3,5031.4506,Bhopal,,,,,,
NCA05,20.75,Low Fat,0.053930934,Health and Hygiene,149.4734,OUT013,1987,High,Tier 3,Supermarket Type1,2969.468,Guwahati,,,,,,
FDR10,17.6,Low Fat,0.010031539,Snack Foods,161.5552,OUT013,1987,High,Tier 3,Supermarket Type1,1787.0072,Ranchi,,,,,,
FDL22,16.85,Low Fat,0.036383293,Snack Foods,91.0488,OUT035,2004,Small,Tier 2,Supermarket Type1,1086.5856,Indore,,,,,,
FDD10,20.6,Regular,0.053930934,Snack Foods,178.1344,OUT035,2004,Small,Tier 2,Supermarket Type1,3568.688,Ahmedabad,,,,,,
FDW25,5.175,Low Fat,0.03736783,Canned,86.9224,OUT013,1987,High,Tier 3,Supermarket Type1,255.6672,Meerut,,,,,,
